Name in English,Name in Chinese,Email,Position title on the website,Position in the BTBA Committee,Team,Job Title & Affiliation,LinkedIn,Headshot Name
Yung-Chih Cheng,,,Co-president,,,"Senior Scientist, Q-State Biosciences",,yung-chih_cheng.jpg
Chih-Chi (Jimmy) Chu,,,Co-president,,,"Scientist I, bluebird bio",,chih-chi_chu.jpg
