Name in English,Name in Chinese,Email,Position title on the website,Position in the BTBA Committee,Team,Job Title & Affiliation,LinkedIn,Headshot Name
Ying-Ja (Inca) Chen,陳映嘉,,Co-president,,,"Patent Agent Axcella Heath (Current: Vice Director, Bioinformatics and AI / IP Manager at ACT Genomics)",,ying-ja_chen.jpg
Jay (Chih-Chieh) Wang,王志傑,,Co-president,,,Postdoctoral Fellow at Harvard Medical School (Current: Scientist at Cygnal Therapeutics),,jay_wang.jpg
