Name in English,Name in Chinese,Email,Position title on the website,Position in the BTBA Committee,Team,Job Title & Affiliation,LinkedIn,Headshot Name
Yung-Chi Huang,黃詠琪,,Co-president,,,"Postdoctoral Fellow, Massachusetts Institute of Technology",,yung-chi_huang.jpg
I-Ju Lee,李以如,,Co-president,,,"Research Fellow, Dana-Farber Cancer Institute",,i-ju_lee.jpg
