Name in English,Name in Chinese,Email,Position title on the website,Position in the BTBA Committee,Team,Job Title & Affiliation,LinkedIn,Headshot Name
Hsiao-Ying (Monica) Wey,魏曉英,,Co-president,,,"Assistant Professor, The MGH/HST Martinos Center for Biomedical Imaging",,hsiao-ying_wey.jpg
Tzu-Hsing (April) Kuo,郭姿杏,,Co-president,,,"Scientist, Molecular and Cell Biology, Acceleron Pharma",,tzu-hsing_kuo.jpg
