Name in English,Name in Chinese,Email,Position title on the website,Position in the BTBA Committee,Team,Job Title & Affiliation,LinkedIn,Headshot Name
Yvonne Meng,孟憲薇,,Co-president,,,"Sr. Group Leader, Entrada Therapeutics",,yvonne-meng.jpg
Erica Cai,蔡佩珊,,Co-president,,,"Research Fellow, Joslin Diabetes Center",,erica-cai.jpg
