Name in English,Name in Chinese,Email,Position title on the website,Position in the BTBA Committee,Team,Job Title & Affiliation,LinkedIn,Headshot Name
Sherry Lee,李湘盈,,Co-president,,,Postdoctoral Fellow at MIT (Current: Assistant Professor at Beijing University),,sherry_lee.jpg
Fu-Kai Hsieh,謝富凱,,Co-president,,,Research Fellow at Massachusetts General Hospital,,fu-kai_hsieh.jpg
