Name in English,Name in Chinese,Email,Position title on the website,Position in the BTBA Committee,Team,Job Title & Affiliation,LinkedIn,Headshot Name
Ho-Chou Tu,杜荷洲,,Co-president,,,Research Fellow at Children's Hospital Boston (Current: Senior Scientist at Alnylam Pharmaceuticals),,ho-chou_tu.jpg
Ching-Han (Hannah) Shen,沈敬涵,,Co-president,,,Graduate student at Harvard University (Current: Associate Director at BridgeBio),,hannah_shen.jpg
